"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"10158411AW","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",75,"Recall1",2593
"10178510lj","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",30,"Recall1",2278
"w10125208_cfe","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",90,"Recall1",3754
"w10132740_fmm","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",0,"Recall1",2424
"w10137415_tj","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",95,"Recall1",1449
"w10139313_DNM","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",97,"Recall1",2133
"w10143279D.A","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",2443
"w10152065_kgp","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",96,"Recall1",2320
"w10152143_ars","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",60,"Recall1",6046
"w10152190_mm","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",1294
"w10152527_jmt","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",20,"Recall1",1833
"w10159882_ARS","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",2917
"w10160519_vas","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",96,"Recall1",2150
"w10161022_mj","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",1386
"w10168271ae","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",1813
"w470603_jgn","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",100,"Recall1",2669
"w738206JEH","love","love","1",1,2,"JOL","affection","Study1","F","Study Phase",95,"Recall1",3581
"10158411AW","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",6,"Recall1",16160
"10178510lj","","cry","0",0,2,"JOL","bottle","Study1","M","Study Phase",4,"Recall1",1117
"w10125208_cfe","cup","cry","0.333333333333333",0,2,"JOL","bottle","Study1","M","Study Phase",75,"Recall1",3275
"w10132740_fmm","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",0,"Recall1",2091
"w10137415_tj","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",0,"Recall1",3556
"w10139313_DNM","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",75,"Recall1",1636
"w10143279D.A","girl","cry","0.25",0,2,"JOL","bottle","Study1","M","Study Phase",40,"Recall1",3765
"w10152065_kgp","fizz","cry","0",0,2,"JOL","bottle","Study1","M","Study Phase",10,"Recall1",7589
"w10152143_ars","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",40,"Recall1",2549
"w10152190_mm","cap","cry","0.333333333333333",0,2,"JOL","bottle","Study1","M","Study Phase",23,"Recall1",3603
"w10152527_jmt","","cry","0",0,2,"JOL","bottle","Study1","M","Study Phase",10,"Recall1",5551
"w10159882_ARS","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",45,"Recall1",4293
"w10160519_vas","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",100,"Recall1",1557
"w10161022_mj","can","cry","0.333333333333333",0,2,"JOL","bottle","Study1","M","Study Phase",40,"Recall1",2499
"w10168271ae","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",60,"Recall1",2623
"w470603_jgn","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",100,"Recall1",1879
"w738206JEH","cry","cry","1",1,2,"JOL","bottle","Study1","M","Study Phase",49,"Recall1",2709
"10158411AW","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",1,"Recall1",3304
"10178510lj","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",23,"Recall1",3304
"w10125208_cfe","bat","bat","1",1,2,"JOL","bounce","Study1","M","Study Phase",60,"Recall1",4415
"w10132740_fmm","jump","bat","0",0,2,"JOL","bounce","Study1","M","Study Phase",0,"Recall1",3178
"w10137415_tj","","bat","0",0,2,"JOL","bounce","Study1","M","Study Phase",0,"Recall1",5735
"w10139313_DNM","back","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",80,"Recall1",4933
"w10143279D.A","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",40,"Recall1",2965
"w10152065_kgp","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",18,"Recall1",3517
"w10152143_ars","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",30,"Recall1",6802
"w10152190_mm","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",48,"Recall1",1596
"w10152527_jmt","","bat","0",0,2,"JOL","bounce","Study1","M","Study Phase",20,"Recall1",3172
"w10159882_ARS","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",10,"Recall1",6814
"w10160519_vas","bat","bat","1",1,2,"JOL","bounce","Study1","M","Study Phase",65,"Recall1",6275
"w10161022_mj","wal","bat","0.333333333333333",0,2,"JOL","bounce","Study1","M","Study Phase",70,"Recall1",2196
"w10168271ae","ball","bat","0.5",0,2,"JOL","bounce","Study1","M","Study Phase",20,"Recall1",4466
"w470603_jgn","play","bat","0.25",0,2,"JOL","bounce","Study1","M","Study Phase",30,"Recall1",2037
"w738206JEH","bat","bat","1",1,2,"JOL","bounce","Study1","M","Study Phase",20,"Recall1",2574
"10158411AW","","beach","0",0,2,"JOL","box","Study1","M","Study Phase",19,"Recall1",6740
"10178510lj","","beach","0",0,2,"JOL","box","Study1","M","Study Phase",12,"Recall1",2839
"w10125208_cfe","tape","beach","0.4",0,2,"JOL","box","Study1","M","Study Phase",20,"Recall1",2842
"w10132740_fmm","cart","beach","0.4",0,2,"JOL","box","Study1","M","Study Phase",0,"Recall1",5331
"w10137415_tj","","beach","0",0,2,"JOL","box","Study1","M","Study Phase",0,"Recall1",6095
"w10139313_DNM","","beach","0",0,2,"JOL","box","Study1","M","Study Phase",60,"Recall1",2438
"w10143279D.A","cat","beach","0.4",0,2,"JOL","box","Study1","M","Study Phase",10,"Recall1",3692
