"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"w10131227_grd","love ","love",1,"Read","affection","Study1","F","Study Phase",924,"Recall1","USM"
"W10140113ED","love","love",1,"Read","affection","Study1","F","Study Phase",1187,"Recall1","USM"
"w10154105DM","love","love",1,"Read","affection","Study1","F","Study Phase",2022,"Recall1","USM"
"w10157700_CJP","love","love",1,"Read","affection","Study1","F","Study Phase",1194,"Recall1","USM"
"w10161018@usm.edu_JRM","love","love",1,"Read","affection","Study1","F","Study Phase",1357,"Recall1","USM"
"w10169795_mls","love","love",1,"Read","affection","Study1","F","Study Phase",3570,"Recall1","USM"
"W10173435VPS","sweet","love",1,"Read","affection","Study1","F","Study Phase",1477,"Recall1","USM"
"w10175420MM","touch","love",1,"Read","affection","Study1","F","Study Phase",575,"Recall1","USM"
"w10175528_CLJ","","love",1,"Read","affection","Study1","F","Study Phase",641,"Recall1","USM"
"w10183245_ara","love","love",1,"Read","affection","Study1","F","Study Phase",965,"Recall1","USM"
"W10192914_JML","love","love",1,"Read","affection","Study1","F","Study Phase",1067,"Recall1","USM"
"W10194212_mpn","love","love",1,"Read","affection","Study1","F","Study Phase",1574,"Recall1","USM"
"w547558","love","love",1,"Read","affection","Study1","F","Study Phase",1137,"Recall1","USM"
"w10131227_grd","christmas ","birthday",1,"Read","apple","Study1","M","Study Phase",1095,"Recall1","USM"
"W10140113ED","","birthday",1,"Read","apple","Study1","M","Study Phase",655,"Recall1","USM"
"w10154105DM","birthday","birthday",1,"Read","apple","Study1","M","Study Phase",5008,"Recall1","USM"
"w10157700_CJP","birthday ","birthday",1,"Read","apple","Study1","M","Study Phase",1073,"Recall1","USM"
"w10161018@usm.edu_JRM","trash","birthday",1,"Read","apple","Study1","M","Study Phase",1752,"Recall1","USM"
"w10169795_mls","","birthday",1,"Read","apple","Study1","M","Study Phase",1235,"Recall1","USM"
"W10173435VPS","tree","birthday",1,"Read","apple","Study1","M","Study Phase",4965,"Recall1","USM"
"w10175420MM","fruit","birthday",1,"Read","apple","Study1","M","Study Phase",743,"Recall1","USM"
"w10175528_CLJ","","birthday",1,"Read","apple","Study1","M","Study Phase",444,"Recall1","USM"
"w10183245_ara","","birthday",1,"Read","apple","Study1","M","Study Phase",3661,"Recall1","USM"
"W10192914_JML","birthday","birthday",1,"Read","apple","Study1","M","Study Phase",908,"Recall1","USM"
"W10194212_mpn","birthday","birthday",1,"Read","apple","Study1","M","Study Phase",2145,"Recall1","USM"
"w547558","fruit","birthday",1,"Read","apple","Study1","M","Study Phase",974,"Recall1","USM"
"w10131227_grd","","hard",1,"Read","ball","Study1","M","Study Phase",1612,"Recall1","USM"
"W10140113ED","","hard",1,"Read","ball","Study1","M","Study Phase",823,"Recall1","USM"
