"Username","Stimuli.Cue","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL"
"57439a4354636a000d78639a","CHOP","CUT","F",50
"57439a4354636a000d78639a","HORNET","STING","F",50
"57439a4354636a000d78639a","LITTER","TRASH","F",70
"57439a4354636a000d78639a","WAGE","MONEY","F",40
"57439a4354636a000d78639a","LISTEN","FICTION","U",5
"57439a4354636a000d78639a","SUGAR","RIDDLE","U",5
"57439a4354636a000d78639a","REALITY","ISLAND","M",10
"57439a4354636a000d78639a","PUSH","CLUTTER","U",5
"57439a4354636a000d78639a","SOAP","DRINK","M",0
"57439a4354636a000d78639a","ROUGH","SILK","M",0
"57439a4354636a000d78639a","SIGN","TICK","U",0
"57439a4354636a000d78639a","BAT","BOUNCE","M",5
"57439a4354636a000d78639a","TOOTH","HAIR","M",10
"57439a4354636a000d78639a","STRONG","ACCIDENT","U",5
"57439a4354636a000d78639a","NURSE","LAWYER","M",10
"57439a4354636a000d78639a","MIRROR","CHILDREN","U",10
"57439a4354636a000d78639a","CASH","STUDY","U",25
"57439a4354636a000d78639a","RAKE","SEED","M",15
"57439a4354636a000d78639a","OVEN","BASKET","M",10
"57439a4354636a000d78639a","MULE","DONKEY","F",30
"57439a4354636a000d78639a","SUMMER","SNOW","M",5
"57439a4354636a000d78639a","FUZZY","BANG","U",0
"57439a4354636a000d78639a","DAY","DARK","M",20
"57439a4354636a000d78639a","WASP","BUG","F",45
"57439a4354636a000d78639a","TREE","SYRUP","M",10
"57439a4354636a000d78639a","KEYS","ROD","U",0
"57439a4354636a000d78639a","BIRTHDAY","PIE","M",25
"57439a4354636a000d78639a","MAZE","PHONE","U",10
"57439a4354636a000d78639a","ROOT","PLANT","F",50
"57439a4354636a000d78639a","BLAZE","FIRE","F",65
"57439a4354636a000d78639a","CHISEL","HAMMER","F",65
"57439a4354636a000d78639a","VALLEY","PEAK","M",15
"57439a4354636a000d78639a","TRAP","CAVE","M",15
"57439a4354636a000d78639a","EYES","SMELL","M",5
"57439a4354636a000d78639a","ORCHID","FLOWER","F",80
"57439a4354636a000d78639a","LEAGUE","BASEBALL","F",85
"57439a4354636a000d78639a","WAR","QUIET","M",0
"57439a4354636a000d78639a","RAZOR","MUSCLE","M",5
"57439a4354636a000d78639a","DEATH","BUSINESS","U",5
"57439a4354636a000d78639a","GIVE","STEAK","U",0
"57439a4354636a000d78639a","GRILL","THIGH","M",0
"57439a4354636a000d78639a","SIP","DRINK","F",80
"57439a4354636a000d78639a","LION","STRIPES","M",10
"57439a4354636a000d78639a","SOON","BELT","U",5
"57439a4354636a000d78639a","ART","WOLF","U",0
"57439a4354636a000d78639a","HERD","COW","F",50
"57439a4354636a000d78639a","BEACH","BOX","M",10
"57439a4354636a000d78639a","WORD","SENTENCE","F",60
"57439a4354636a000d78639a","TEMPERATURE","MORNING","U",0
"57439a4354636a000d78639a","ARTERY","BRONZE","U",0
"57439a4354636a000d78639a","NAP","SLEEP","F",70
"57439a4354636a000d78639a","LEASE","TOIL","U",0
"57439a4354636a000d78639a","SICK","HIDE","U",0
"57439a4354636a000d78639a","INCENSE","SMELL","F",45
"57439a4354636a000d78639a","SCHOOL","STOP","M",15
"57439a4354636a000d78639a","SHELL","SHAKE","U",0
"57439a4354636a000d78639a","VEHICLE","CHARM","U",0
"57439a4354636a000d78639a","CRACKLE","ELECTION","U",8
"57439a4354636a000d78639a","HEAVY","FEATHER","M",0
"57439a4354636a000d78639a","AFFECTION","LOVE","F",88
"57439a4354636a000d78639a","BOTH","OUNCE","U",0
"57439a4354636a000d78639a","WEDDING","FINGER","M",67
"57439a4354636a000d78639a","HAPPY","CAR","U",4
"57439a4354636a000d78639a","CREDIT","CARD","F",95
"57439a4354636a000d78639a","PILL","BOTTLE","F",66
"57439a4354636a000d78639a","CACTUS","PLANT","F",73
"57439a4354636a000d78639a","FEUD","FIGHT","F",89
"57439a4354636a000d78639a","PANTS","COLLAR","M",12
"57439a4354636a000d78639a","CHILL","COLD","F",81
"57439a4354636a000d78639a","DIETARY","SACK","U",0
"57439a4354636a000d78639a","BRIDGE","WATER","F",76
"57439a4354636a000d78639a","CHERRY","RED","F",86
"57439a4354636a000d78639a","CIRCLE","DANCE","M",6
"57439a4354636a000d78639a","HYGIENE","CLEAN","F",40
"57439a4354636a000d78639a","HARD","COTTON","M",0
"57439a4354636a000d78639a","DOCUMENT","PAPER","F",57
"57439a4354636a000d78639a","CEILING","CARPET","M",22
"57439a4354636a000d78639a","TUNA","FISH","F",88
"57439a4354636a000d78639a","CAKE","HAND","U",3
"57439a4354636a000d78639a","ATTIRE","CLOTHES","F",28
"57439a4354636a000d78639a","SCALP","HEAD","F",88
"57439a4354636a000d78639a","KING","VASE","U",0
"57439a4354636a000d78639a","MIRROR","MAROON","U",0
"57439a4354636a000d78639a","CRY","BOTTLE","M",26
"57439a4354636a000d78639a","MEAT","KEYS","U",0
"57439a4354636a000d78639a","SWAN","BIRD","F",80
"57439a4354636a000d78639a","HORSE","WHEEL","M",40
"57439a4354636a000d78639a","BENCH","HORN","U",2
"57439a4354636a000d78639a","WINDOW","KNOB","M",2
"57439a4354636a000d78639a","STRETCH","CLOTH","U",11
"5a4fa20276d1c60001aa8d00","SCALP","HEAD","F",90
"5a4fa20276d1c60001aa8d00","SOON","BELT","U",0
"5a4fa20276d1c60001aa8d00","BLAZE","FIRE","F",70
"5a4fa20276d1c60001aa8d00","FUZZY","BANG","U",0
"5a4fa20276d1c60001aa8d00","RAZOR","MUSCLE","M",3
"5a4fa20276d1c60001aa8d00","TRAP","CAVE","M",1
"5a4fa20276d1c60001aa8d00","EYES","SMELL","M",0
"5a4fa20276d1c60001aa8d00","ORCHID","FLOWER","F",95
"5a4fa20276d1c60001aa8d00","OVEN","BASKET","M",5
"5a4fa20276d1c60001aa8d00","WAGE","MONEY","F",90
"5a4fa20276d1c60001aa8d00","TUNA","FISH","F",98
"5a4fa20276d1c60001aa8d00","HAPPY","CAR","U",5
"5a4fa20276d1c60001aa8d00","HARD","COTTON","M",0
"5a4fa20276d1c60001aa8d00","GIVE","STEAK","U",0
"5a4fa20276d1c60001aa8d00","ATTIRE","CLOTHES","F",80
"5a4fa20276d1c60001aa8d00","ARTERY","BRONZE","U",0
"5a4fa20276d1c60001aa8d00","KING","VASE","U",0
"5a4fa20276d1c60001aa8d00","WEDDING","FINGER","M",20
"5a4fa20276d1c60001aa8d00","CHISEL","HAMMER","F",60
"5a4fa20276d1c60001aa8d00","TEMPERATURE","MORNING","U",5
"5a4fa20276d1c60001aa8d00","GRILL","THIGH","M",10
"5a4fa20276d1c60001aa8d00","HYGIENE","CLEAN","F",90
"5a4fa20276d1c60001aa8d00","WINDOW","KNOB","M",0
"5a4fa20276d1c60001aa8d00","BENCH","HORN","U",0
"5a4fa20276d1c60001aa8d00","HORSE","WHEEL","M",7
"5a4fa20276d1c60001aa8d00","MULE","DONKEY","F",96
"5a4fa20276d1c60001aa8d00","BAT","BOUNCE","M",20
"5a4fa20276d1c60001aa8d00","PANTS","COLLAR","M",5
"5a4fa20276d1c60001aa8d00","PILL","BOTTLE","F",30
"5a4fa20276d1c60001aa8d00","DAY","DARK","M",2
"5a4fa20276d1c60001aa8d00","CASH","STUDY","U",6
"5a4fa20276d1c60001aa8d00","HERD","COW","F",90
"5a4fa20276d1c60001aa8d00","SUMMER","SNOW","M",0
"5a4fa20276d1c60001aa8d00","ROUGH","SILK","M",0
"5a4fa20276d1c60001aa8d00","CIRCLE","DANCE","M",4
"5a4fa20276d1c60001aa8d00","LION","STRIPES","M",0
"5a4fa20276d1c60001aa8d00","VEHICLE","CHARM","U",0
"5a4fa20276d1c60001aa8d00","SOAP","DRINK","M",0
"5a4fa20276d1c60001aa8d00","CRACKLE","ELECTION","U",0
"5a4fa20276d1c60001aa8d00","LEASE","TOIL","U",4
"5a4fa20276d1c60001aa8d00","AFFECTION","LOVE","F",98
"5a4fa20276d1c60001aa8d00","CAKE","HAND","U",3
"5a4fa20276d1c60001aa8d00","LEAGUE","BASEBALL","F",40
"5a4fa20276d1c60001aa8d00","NURSE","LAWYER","M",0
"5a4fa20276d1c60001aa8d00","DEATH","BUSINESS","U",5
"5a4fa20276d1c60001aa8d00","BIRTHDAY","PIE","M",25
"5a4fa20276d1c60001aa8d00","WAR","QUIET","M",2
"5a4fa20276d1c60001aa8d00","CHILL","COLD","F",90
"5a4fa20276d1c60001aa8d00","CACTUS","PLANT","F",85
"5a4fa20276d1c60001aa8d00","MIRROR","CHILDREN","U",0
"5a4fa20276d1c60001aa8d00","LISTEN","FICTION","U",15
"5a4fa20276d1c60001aa8d00","MAZE","PHONE","U",1
"5a4fa20276d1c60001aa8d00","BRIDGE","WATER","F",78
"5a4fa20276d1c60001aa8d00","CEILING","CARPET","M",10
"5a4fa20276d1c60001aa8d00","CHOP","CUT","F",80
"5a4fa20276d1c60001aa8d00","WORD","SENTENCE","F",80
"5a4fa20276d1c60001aa8d00","FEUD","FIGHT","F",90
"5a4fa20276d1c60001aa8d00","SWAN","BIRD","F",95
"5a4fa20276d1c60001aa8d00","DOCUMENT","PAPER","F",70
"5a4fa20276d1c60001aa8d00","HEAVY","FEATHER","M",20
"5a4fa20276d1c60001aa8d00","ART","WOLF","U",0
"5a4fa20276d1c60001aa8d00","BEACH","BOX","M",10
"5a4fa20276d1c60001aa8d00","MEAT","KEYS","U",0
"5a4fa20276d1c60001aa8d00","HORNET","STING","F",40
"5a4fa20276d1c60001aa8d00","INCENSE","SMELL","F",85
"5a4fa20276d1c60001aa8d00","CREDIT","CARD","F",100
"5a4fa20276d1c60001aa8d00","STRETCH","CLOTH","U",12
"5a4fa20276d1c60001aa8d00","REALITY","ISLAND","M",50
"5a4fa20276d1c60001aa8d00","WASP","BUG","F",55
"5a4fa20276d1c60001aa8d00","CHERRY","RED","F",60
"5a4fa20276d1c60001aa8d00","CRY","BOTTLE","M",10
"5a4fa20276d1c60001aa8d00","SIP","DRINK","F",65
"5a4fa20276d1c60001aa8d00","SCHOOL","STOP","M",10
"5a4fa20276d1c60001aa8d00","VALLEY","PEAK","M",90
"5a4fa20276d1c60001aa8d00","KEYS","ROD","U",0
"5a4fa20276d1c60001aa8d00","LITTER","TRASH","F",95
"5a4fa20276d1c60001aa8d00","MIRROR","MAROON","U",0
"5a4fa20276d1c60001aa8d00","SIGN","TICK","U",60
"5a4fa20276d1c60001aa8d00","TOOTH","HAIR","M",5
"5a4fa20276d1c60001aa8d00","BOTH","OUNCE","U",0
"5a4fa20276d1c60001aa8d00","NAP","SLEEP","F",99
"5a4fa20276d1c60001aa8d00","PUSH","CLUTTER","U",0
"5a4fa20276d1c60001aa8d00","SUGAR","RIDDLE","U",0
"5a4fa20276d1c60001aa8d00","TREE","SYRUP","M",20
"5a4fa20276d1c60001aa8d00","ROOT","PLANT","F",85
"5a4fa20276d1c60001aa8d00","DIETARY","SACK","U",0
"5a4fa20276d1c60001aa8d00","STRONG","ACCIDENT","U",0
"5a4fa20276d1c60001aa8d00","SICK","HIDE","U",5
"5a4fa20276d1c60001aa8d00","SHELL","SHAKE","U",0
"5a4fa20276d1c60001aa8d00","RAKE","SEED","M",15
"5b421b9ac2e3810001763252","WORD","SENTENCE","F",67
"5b421b9ac2e3810001763252","VALLEY","PEAK","M",26
"5b421b9ac2e3810001763252","WAGE","MONEY","F",86
"5b421b9ac2e3810001763252","TREE","SYRUP","M",4
"5b421b9ac2e3810001763252","ARTERY","BRONZE","U",0
"5b421b9ac2e3810001763252","TOOTH","HAIR","M",5
"5b421b9ac2e3810001763252","BIRTHDAY","PIE","M",20
"5b421b9ac2e3810001763252","HORSE","WHEEL","M",23
"5b421b9ac2e3810001763252","KING","VASE","U",1
"5b421b9ac2e3810001763252","ART","WOLF","U",3
"5b421b9ac2e3810001763252","RAKE","SEED","M",53
"5b421b9ac2e3810001763252","TEMPERATURE","MORNING","U",35
"5b421b9ac2e3810001763252","PUSH","CLUTTER","U",2
"5b421b9ac2e3810001763252","SOON","BELT","U",0
"5b421b9ac2e3810001763252","RAZOR","MUSCLE","M",7
"5b421b9ac2e3810001763252","HYGIENE","CLEAN","F",89
"5b421b9ac2e3810001763252","SHELL","SHAKE","U",21
"5b421b9ac2e3810001763252","SIP","DRINK","F",90
"5b421b9ac2e3810001763252","ATTIRE","CLOTHES","F",92
"5b421b9ac2e3810001763252","HARD","COTTON","M",3
"5b421b9ac2e3810001763252","CHISEL","HAMMER","F",60
"5b421b9ac2e3810001763252","HEAVY","FEATHER","M",6
"5b421b9ac2e3810001763252","DOCUMENT","PAPER","F",48
"5b421b9ac2e3810001763252","WAR","QUIET","M",3
"5b421b9ac2e3810001763252","VEHICLE","CHARM","U",8
"5b421b9ac2e3810001763252","BOTH","OUNCE","U",1
"5b421b9ac2e3810001763252","TUNA","FISH","F",96
"5b421b9ac2e3810001763252","DAY","DARK","M",73
"5b421b9ac2e3810001763252","ROOT","PLANT","F",67
"5b421b9ac2e3810001763252","LEASE","TOIL","U",5
"5b421b9ac2e3810001763252","ROUGH","SILK","M",4
"5b421b9ac2e3810001763252","HERD","COW","F",59
"5b421b9ac2e3810001763252","WEDDING","FINGER","M",51
"5b421b9ac2e3810001763252","CASH","STUDY","U",12
"5b421b9ac2e3810001763252","MULE","DONKEY","F",80
"5b421b9ac2e3810001763252","STRONG","ACCIDENT","U",11
"5b421b9ac2e3810001763252","LISTEN","FICTION","U",14
"5b421b9ac2e3810001763252","LION","STRIPES","M",7
"5b421b9ac2e3810001763252","LITTER","TRASH","F",82
"5b421b9ac2e3810001763252","CEILING","CARPET","M",6
"5b421b9ac2e3810001763252","SWAN","BIRD","F",77
"5b421b9ac2e3810001763252","BENCH","HORN","U",0
"5b421b9ac2e3810001763252","MAZE","PHONE","U",1
"5b421b9ac2e3810001763252","FEUD","FIGHT","F",89
"5b421b9ac2e3810001763252","BAT","BOUNCE","M",5
"5b421b9ac2e3810001763252","CRY","BOTTLE","M",16
"5b421b9ac2e3810001763252","CREDIT","CARD","F",72
"5b421b9ac2e3810001763252","MIRROR","MAROON","U",2
"5b421b9ac2e3810001763252","SOAP","DRINK","M",6
"5b421b9ac2e3810001763252","SCALP","HEAD","F",56
"5b421b9ac2e3810001763252","EYES","SMELL","M",2
"5b421b9ac2e3810001763252","CHERRY","RED","F",64
"5b421b9ac2e3810001763252","CHILL","COLD","F",82
"5b421b9ac2e3810001763252","WINDOW","KNOB","M",4
"5b421b9ac2e3810001763252","BRIDGE","WATER","F",71
"5b421b9ac2e3810001763252","BLAZE","FIRE","F",88
"5b421b9ac2e3810001763252","SIGN","TICK","U",62
"5b421b9ac2e3810001763252","ORCHID","FLOWER","F",92
"5b421b9ac2e3810001763252","OVEN","BASKET","M",43
"5b421b9ac2e3810001763252","MIRROR","CHILDREN","U",4
"5b421b9ac2e3810001763252","CHOP","CUT","F",90
"5b421b9ac2e3810001763252","MEAT","KEYS","U",2
"5b421b9ac2e3810001763252","PANTS","COLLAR","M",4
"5b421b9ac2e3810001763252","TRAP","CAVE","M",10
"5b421b9ac2e3810001763252","SCHOOL","STOP","M",13
"5b421b9ac2e3810001763252","GRILL","THIGH","M",26
"5b421b9ac2e3810001763252","WASP","BUG","F",32
"5b421b9ac2e3810001763252","DIETARY","SACK","U",9
"5b421b9ac2e3810001763252","GIVE","STEAK","U",16
"5b421b9ac2e3810001763252","LEAGUE","BASEBALL","F",58
"5b421b9ac2e3810001763252","HAPPY","CAR","U",39
"5b421b9ac2e3810001763252","STRETCH","CLOTH","U",17
"5b421b9ac2e3810001763252","NURSE","LAWYER","M",2
"5b421b9ac2e3810001763252","NAP","SLEEP","F",85
"5b421b9ac2e3810001763252","CIRCLE","DANCE","M",22
"5b421b9ac2e3810001763252","INCENSE","SMELL","F",78
"5b421b9ac2e3810001763252","SUGAR","RIDDLE","U",0
"5b421b9ac2e3810001763252","AFFECTION","LOVE","F",93
"5b421b9ac2e3810001763252","FUZZY","BANG","U",7
"5b421b9ac2e3810001763252","BEACH","BOX","M",10
"5b421b9ac2e3810001763252","CAKE","HAND","U",5
"5b421b9ac2e3810001763252","REALITY","ISLAND","M",58
"5b421b9ac2e3810001763252","DEATH","BUSINESS","U",12
"5b421b9ac2e3810001763252","HORNET","STING","F",70
"5b421b9ac2e3810001763252","KEYS","ROD","U",1
"5b421b9ac2e3810001763252","CRACKLE","ELECTION","U",0
"5b421b9ac2e3810001763252","PILL","BOTTLE","F",46
"5b421b9ac2e3810001763252","SICK","HIDE","U",10
"5b421b9ac2e3810001763252","SUMMER","SNOW","M",8
"5b421b9ac2e3810001763252","CACTUS","PLANT","F",78
"5bf36d4ca70bf700017ca293","SCALP","HEAD","F",40
"5bf36d4ca70bf700017ca293","WAGE","MONEY","F",80
"5bf36d4ca70bf700017ca293","RAKE","SEED","M",50
"5bf36d4ca70bf700017ca293","DAY","DARK","M",2
"5bf36d4ca70bf700017ca293","PUSH","CLUTTER","U",0
"5bf36d4ca70bf700017ca293","TOOTH","HAIR","M",7
"5bf36d4ca70bf700017ca293","EYES","SMELL","M",1
"5bf36d4ca70bf700017ca293","SUMMER","SNOW","M",4
"5bf36d4ca70bf700017ca293","CHOP","CUT","F",34
"5bf36d4ca70bf700017ca293","TEMPERATURE","MORNING","U",13
"5bf36d4ca70bf700017ca293","GRILL","THIGH","M",17
"5bf36d4ca70bf700017ca293","WORD","SENTENCE","F",21
"5bf36d4ca70bf700017ca293","SOAP","DRINK","M",0
"5bf36d4ca70bf700017ca293","FEUD","FIGHT","F",27
"5bf36d4ca70bf700017ca293","SIGN","TICK","U",1
"5bf36d4ca70bf700017ca293","BEACH","BOX","M",8
"5bf36d4ca70bf700017ca293","BIRTHDAY","PIE","M",3
"5bf36d4ca70bf700017ca293","CHERRY","RED","F",78
"5bf36d4ca70bf700017ca293","NAP","SLEEP","F",89
"5bf36d4ca70bf700017ca293","SOON","BELT","U",2
"5bf36d4ca70bf700017ca293","PILL","BOTTLE","F",28
"5bf36d4ca70bf700017ca293","CHILL","COLD","F",78
"5bf36d4ca70bf700017ca293","WINDOW","KNOB","M",4
"5bf36d4ca70bf700017ca293","CHISEL","HAMMER","F",44
"5bf36d4ca70bf700017ca293","ORCHID","FLOWER","F",91
"5bf36d4ca70bf700017ca293","HARD","COTTON","M",1
"5bf36d4ca70bf700017ca293","HORNET","STING","F",79
"5bf36d4ca70bf700017ca293","MAZE","PHONE","U",0
"5bf36d4ca70bf700017ca293","ART","WOLF","U",1
"5bf36d4ca70bf700017ca293","SUGAR","RIDDLE","U",0
"5bf36d4ca70bf700017ca293","KEYS","ROD","U",3
"5bf36d4ca70bf700017ca293","RAZOR","MUSCLE","M",1
"5bf36d4ca70bf700017ca293","MIRROR","CHILDREN","U",3
"5bf36d4ca70bf700017ca293","DEATH","BUSINESS","U",0
"5bf36d4ca70bf700017ca293","WASP","BUG","F",11
"5bf36d4ca70bf700017ca293","REALITY","ISLAND","M",18
"5bf36d4ca70bf700017ca293","NURSE","LAWYER","M",12
"5bf36d4ca70bf700017ca293","OVEN","BASKET","M",15
"5bf36d4ca70bf700017ca293","MEAT","KEYS","U",0
"5bf36d4ca70bf700017ca293","BAT","BOUNCE","M",3
"5bf36d4ca70bf700017ca293","CAKE","HAND","U",6
"5bf36d4ca70bf700017ca293","LION","STRIPES","M",0
"5bf36d4ca70bf700017ca293","FUZZY","BANG","U",0
"5bf36d4ca70bf700017ca293","BOTH","OUNCE","U",0
"5bf36d4ca70bf700017ca293","TRAP","CAVE","M",4
"5bf36d4ca70bf700017ca293","LISTEN","FICTION","U",2
"5bf36d4ca70bf700017ca293","TUNA","FISH","F",95
"5bf36d4ca70bf700017ca293","SCHOOL","STOP","M",9
"5bf36d4ca70bf700017ca293","SIP","DRINK","F",93
"5bf36d4ca70bf700017ca293","GIVE","STEAK","U",3
"5bf36d4ca70bf700017ca293","LEASE","TOIL","U",4
"5bf36d4ca70bf700017ca293","HERD","COW","F",75
"5bf36d4ca70bf700017ca293","CASH","STUDY","U",10
"5bf36d4ca70bf700017ca293","BRIDGE","WATER","F",66
"5bf36d4ca70bf700017ca293","MULE","DONKEY","F",92
"5bf36d4ca70bf700017ca293","DIETARY","SACK","U",1
"5bf36d4ca70bf700017ca293","STRONG","ACCIDENT","U",2
"5bf36d4ca70bf700017ca293","WAR","QUIET","M",1
"5bf36d4ca70bf700017ca293","HYGIENE","CLEAN","F",78
"5bf36d4ca70bf700017ca293","SICK","HIDE","U",4
