"id","Encoding_Group","Block","Direction","Response.RT","Scored","experiment"
"20343281EA","JOL","Study1","M",11768,100,"Ex2B"
"20346666jts","JOL","Study1","M",4751,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",2023,0,"Ex2B"
"M20287742_NT","JOL","Study1","M",3984,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",3392,0,"Ex2B"
"M20302936IB","JOL","Study1","M",4136,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",3488,0,"Ex2B"
"M20317842","JOL","Study1","M",3391,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",5548,100,"Ex2B"
"M20333917ER","JOL","Study1","M",2720,0,"Ex2B"
"M20334575","JOL","Study1","M",11643,100,"Ex2B"
"M20334855_nic","JOL","Study1","M",11036,0,"Ex2B"
"M20339554_set","JOL","Study1","M",6213,0,"Ex2B"
"M20339918","JOL","Study1","M",6619,0,"Ex2B"
"M20340839DE","JOL","Study1","M",10993,0,"Ex2B"
"M20341291_ymb","JOL","Study1","M",5441,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",5493,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",6037,100,"Ex2B"
"M20353264_sml","JOL","Study1","M",1469,100,"Ex2B"
"20343281EA","JOL","Study1","M",6904,100,"Ex2B"
"20346666jts","JOL","Study1","M",3083,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",3729,100,"Ex2B"
"M20287742_NT","JOL","Study1","M",15567,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",2236,0,"Ex2B"
"M20302936IB","JOL","Study1","M",5800,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",4792,100,"Ex2B"
"M20317842","JOL","Study1","M",5022,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",6945,100,"Ex2B"
"M20333917ER","JOL","Study1","M",3596,0,"Ex2B"
"M20334575","JOL","Study1","M",8582,0,"Ex2B"
"M20334855_nic","JOL","Study1","M",11181,0,"Ex2B"
"M20339554_set","JOL","Study1","M",6701,0,"Ex2B"
"M20339918","JOL","Study1","M",26667,0,"Ex2B"
"M20340839DE","JOL","Study1","M",6068,100,"Ex2B"
"M20341291_ymb","JOL","Study1","M",5088,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",4529,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",3391,0,"Ex2B"
"M20353264_sml","JOL","Study1","M",4237,0,"Ex2B"
"20343281EA","JOL","Study1","U",7454,0,"Ex2B"
"20346666jts","JOL","Study1","U",1824,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",3047,0,"Ex2B"
"M20287742_NT","JOL","Study1","U",2855,0,"Ex2B"
"M20302746LAA","JOL","Study1","U",3124,0,"Ex2B"
"M20302936IB","JOL","Study1","U",6518,0,"Ex2B"
"M20316781_bmd","JOL","Study1","U",7798,0,"Ex2B"
"M20317842","JOL","Study1","U",6832,0,"Ex2B"
"M20330209_AS","JOL","Study1","U",2472,100,"Ex2B"
"M20333917ER","JOL","Study1","U",4593,0,"Ex2B"
"M20334575","JOL","Study1","U",6768,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",10723,100,"Ex2B"
"M20339554_set","JOL","Study1","U",4330,0,"Ex2B"
"M20339918","JOL","Study1","U",7434,0,"Ex2B"
"M20340839DE","JOL","Study1","U",5354,100,"Ex2B"
"M20341291_ymb","JOL","Study1","U",3672,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",3132,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",4687,0,"Ex2B"
"M20353264_sml","JOL","Study1","U",4050,100,"Ex2B"
"20343281EA","JOL","Study1","M",5951,100,"Ex2B"
"20346666jts","JOL","Study1","M",4911,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",2740,0,"Ex2B"
"M20287742_NT","JOL","Study1","M",2962,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",6233,0,"Ex2B"
"M20302936IB","JOL","Study1","M",5421,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",2705,100,"Ex2B"
"M20317842","JOL","Study1","M",5261,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",3792,100,"Ex2B"
"M20333917ER","JOL","Study1","M",4477,0,"Ex2B"
"M20334575","JOL","Study1","M",5143,100,"Ex2B"
"M20334855_nic","JOL","Study1","M",4384,0,"Ex2B"
"M20339554_set","JOL","Study1","M",3629,0,"Ex2B"
"M20339918","JOL","Study1","M",3859,0,"Ex2B"
"M20340839DE","JOL","Study1","M",6548,100,"Ex2B"
"M20341291_ymb","JOL","Study1","M",4948,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",3560,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",4461,100,"Ex2B"
"M20353264_sml","JOL","Study1","M",4035,0,"Ex2B"
"20343281EA","JOL","Study1","U",5948,100,"Ex2B"
"20346666jts","JOL","Study1","U",2684,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",2505,100,"Ex2B"
"M20287742_NT","JOL","Study1","U",3339,0,"Ex2B"
"M20302746LAA","JOL","Study1","U",3903,0,"Ex2B"
"M20302936IB","JOL","Study1","U",5015,0,"Ex2B"
"M20316781_bmd","JOL","Study1","U",10471,0,"Ex2B"
"M20317842","JOL","Study1","U",5426,100,"Ex2B"
"M20330209_AS","JOL","Study1","U",3725,100,"Ex2B"
"M20333917ER","JOL","Study1","U",3662,0,"Ex2B"
"M20334575","JOL","Study1","U",8476,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",6456,0,"Ex2B"
"M20339554_set","JOL","Study1","U",4119,0,"Ex2B"
"M20339918","JOL","Study1","U",5936,0,"Ex2B"
"M20340839DE","JOL","Study1","U",6248,100,"Ex2B"
"M20341291_ymb","JOL","Study1","U",14315,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",2998,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",4050,100,"Ex2B"
"M20353264_sml","JOL","Study1","U",5433,0,"Ex2B"
"20343281EA","JOL","Study1","F",13522,0,"Ex2B"
"20346666jts","JOL","Study1","F",2892,0,"Ex2B"
"M20278923!AJP","JOL","Study1","F",3547,0,"Ex2B"
"M20287742_NT","JOL","Study1","F",2978,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",6359,0,"Ex2B"
"M20302936IB","JOL","Study1","F",7165,0,"Ex2B"
"M20316781_bmd","JOL","Study1","F",3445,100,"Ex2B"
"M20317842","JOL","Study1","F",2873,0,"Ex2B"
"M20330209_AS","JOL","Study1","F",4108,100,"Ex2B"
"M20333917ER","JOL","Study1","F",5991,0,"Ex2B"
"M20334575","JOL","Study1","F",7175,100,"Ex2B"
"M20334855_nic","JOL","Study1","F",4040,0,"Ex2B"
"M20339554_set","JOL","Study1","F",3641,0,"Ex2B"
"M20339918","JOL","Study1","F",9086,0,"Ex2B"
"M20340839DE","JOL","Study1","F",5557,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",5792,100,"Ex2B"
"M20342004_AO","JOL","Study1","F",3186,0,"Ex2B"
"M20343663_rro","JOL","Study1","F",3212,100,"Ex2B"
"M20353264_sml","JOL","Study1","F",3318,100,"Ex2B"
"20343281EA","JOL","Study1","M",9972,100,"Ex2B"
"20346666jts","JOL","Study1","M",3833,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",5223,100,"Ex2B"
"M20287742_NT","JOL","Study1","M",4838,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",3811,100,"Ex2B"
"M20302936IB","JOL","Study1","M",10322,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",9442,100,"Ex2B"
"M20317842","JOL","Study1","M",3423,100,"Ex2B"
"M20330209_AS","JOL","Study1","M",2941,100,"Ex2B"
"M20333917ER","JOL","Study1","M",4233,100,"Ex2B"
"M20334575","JOL","Study1","M",7160,0,"Ex2B"
"M20334855_nic","JOL","Study1","M",6174,100,"Ex2B"
"M20339554_set","JOL","Study1","M",3727,100,"Ex2B"
"M20339918","JOL","Study1","M",8137,0,"Ex2B"
"M20340839DE","JOL","Study1","M",8298,100,"Ex2B"
"M20341291_ymb","JOL","Study1","M",147329,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",3640,100,"Ex2B"
"M20343663_rro","JOL","Study1","M",4851,100,"Ex2B"
"M20353264_sml","JOL","Study1","M",5293,100,"Ex2B"
"20343281EA","JOL","Study1","F",8199,100,"Ex2B"
"20346666jts","JOL","Study1","F",3523,0,"Ex2B"
