"id","encoding","direction","Response.RT","score","experiment"
"10158411AW","JOL","F",2593,100,"Ex1B"
"10161737JM","JOL","F",2760,0,"Ex1B"
"10178510lj","JOL","F",2278,100,"Ex1B"
"w10087387","JOL","F",2243,100,"Ex1B"
"w10107627","JOL","F",1857,100,"Ex1B"
"w10116193LH","JOL","F",34296,0,"Ex1B"
"w10125208_cfe","JOL","F",3754,100,"Ex1B"
"w10132740_fmm","JOL","F",2424,100,"Ex1B"
"w10137415_tj","JOL","F",1449,100,"Ex1B"
"w10139313_DNM","JOL","F",2133,100,"Ex1B"
"w10140015LS","JOL","F",2152,100,"Ex1B"
"w10143279D.A","JOL","F",2443,100,"Ex1B"
"w10152065_kgp","JOL","F",2320,100,"Ex1B"
"w10152143_ars","JOL","F",6046,100,"Ex1B"
"w10152190_mm","JOL","F",1294,100,"Ex1B"
"w10152527_jmt","JOL","F",1833,100,"Ex1B"
"w10155657_MW","JOL","F",2553,100,"Ex1B"
"w10155664_nlr","JOL","F",1703,100,"Ex1B"
"w10156924_cos","JOL","F",2434,100,"Ex1B"
"w10159882_ARS","JOL","F",2917,100,"Ex1B"
"w10160404ko","JOL","F",2853,100,"Ex1B"
"w10160519_vas","JOL","F",2150,100,"Ex1B"
"w10161022_mj","JOL","F",1386,100,"Ex1B"
"w10168271ae","JOL","F",1813,100,"Ex1B"
"w10187067SW","JOL","F",9893,100,"Ex1B"
"w10192778_shruti","JOL","F",1776,100,"Ex1B"
"w10196082_CRM","JOL","F",2311,100,"Ex1B"
"w470603_jgn","JOL","F",2669,100,"Ex1B"
"w738206JEH","JOL","F",3581,100,"Ex1B"
"10158411AW","JOL","M",16160,100,"Ex1B"
"10161737JM","JOL","M",1758,0,"Ex1B"
"10178510lj","JOL","M",1117,0,"Ex1B"
"w10087387","JOL","M",2016,100,"Ex1B"
"w10107627","JOL","M",2195,100,"Ex1B"
"w10116193LH","JOL","M",4066,0,"Ex1B"
"w10125208_cfe","JOL","M",3275,0,"Ex1B"
"w10132740_fmm","JOL","M",2091,100,"Ex1B"
"w10137415_tj","JOL","M",3556,100,"Ex1B"
"w10139313_DNM","JOL","M",1636,100,"Ex1B"
"w10140015LS","JOL","M",1560,0,"Ex1B"
"w10143279D.A","JOL","M",3765,0,"Ex1B"
"w10152065_kgp","JOL","M",7589,0,"Ex1B"
"w10152143_ars","JOL","M",2549,100,"Ex1B"
"w10152190_mm","JOL","M",3603,0,"Ex1B"
"w10152527_jmt","JOL","M",5551,0,"Ex1B"
"w10155657_MW","JOL","M",3210,0,"Ex1B"
"w10155664_nlr","JOL","M",4966,0,"Ex1B"
"w10156924_cos","JOL","M",8347,0,"Ex1B"
"w10159882_ARS","JOL","M",4293,100,"Ex1B"
"w10160404ko","JOL","M",18126,0,"Ex1B"
"w10160519_vas","JOL","M",1557,100,"Ex1B"
"w10161022_mj","JOL","M",2499,0,"Ex1B"
"w10168271ae","JOL","M",2623,100,"Ex1B"
"w10187067SW","JOL","M",1888,0,"Ex1B"
"w10192778_shruti","JOL","M",2440,100,"Ex1B"
"w10196082_CRM","JOL","M",1637,0,"Ex1B"
"w470603_jgn","JOL","M",1879,100,"Ex1B"
"w738206JEH","JOL","M",2709,100,"Ex1B"
"10158411AW","JOL","M",3304,0,"Ex1B"
"10161737JM","JOL","M",18578,0,"Ex1B"
"10178510lj","JOL","M",3304,0,"Ex1B"
"w10087387","JOL","M",3423,0,"Ex1B"
"w10107627","JOL","M",2863,0,"Ex1B"
"w10116193LH","JOL","M",2755,0,"Ex1B"
"w10125208_cfe","JOL","M",4415,100,"Ex1B"
