"Username","Stimuli.Cue","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL"
"5c8c22bafeeaeb0016207a00","ARTERY","BRONZE","U",10
"5c8c22bafeeaeb0016207a00","DAY","BLACK","M",0
"5c8c22bafeeaeb0016207a00","STRONG","ACCIDENT","U",5
"5c8c22bafeeaeb0016207a00","AFFECTION","LOVE","F",60
"5c8c22bafeeaeb0016207a00","DOCUMENT","PAPER","F",50
"5c8c22bafeeaeb0016207a00","SOON","BELT","U",0
"5c8c22bafeeaeb0016207a00","CAKE","HAND","U",0
"5c8c22bafeeaeb0016207a00","CREDIT","CARD","F",80
"5c8c22bafeeaeb0016207a00","LEAGUE","BASEBALL","F",65
"5c8c22bafeeaeb0016207a00","GRILL","LEG","M",0
"5c8c22bafeeaeb0016207a00","CHILL","COLD","F",20
"5c8c22bafeeaeb0016207a00","MULE","DONKEY","F",70
"5c8c22bafeeaeb0016207a00","MEAT","KEYS","U",0
"5c8c22bafeeaeb0016207a00","SCALP","HEAD","F",40
"5c8c22bafeeaeb0016207a00","OVEN","WEAVE","M",0
"5c8c22bafeeaeb0016207a00","HERD","COW","F",40
"5c8c22bafeeaeb0016207a00","TOOTH","COMB","M",35
"5c8c22bafeeaeb0016207a00","CACTUS","PLANT","F",45
"5c8c22bafeeaeb0016207a00","SCHOOL","SIGN","M",30
"5c8c22bafeeaeb0016207a00","SOAP","THIRST","M",0
"5c8c22bafeeaeb0016207a00","WASP","BUG","F",15
"5c8c22bafeeaeb0016207a00","NURSE","COURT","M",2
"5c8c22bafeeaeb0016207a00","SWAN","BIRD","F",60
"5c8c22bafeeaeb0016207a00","CIRCLE","FUN","M",5
"5c8c22bafeeaeb0016207a00","ROUGH","WORM","M",0
"5c8c22bafeeaeb0016207a00","HARD","BALL","M",20
"5c8c22bafeeaeb0016207a00","BEACH","SQUARE","M",5
"5c8c22bafeeaeb0016207a00","PUSH","CLUTTER","U",5
"5c8c22bafeeaeb0016207a00","CEILING","RUG","M",0
"5c8c22bafeeaeb0016207a00","CHISEL","HAMMER","F",30
"5c8c22bafeeaeb0016207a00","BLAZE","FIRE","F",75
"5c8c22bafeeaeb0016207a00","CASH","STUDY","U",0
"5c8c22bafeeaeb0016207a00","SUGAR","RIDDLE","U",0
"5c8c22bafeeaeb0016207a00","FEUD","FIGHT","F",65
"5c8c22bafeeaeb0016207a00","WEDDING","HAND","M",15
"5c8c22bafeeaeb0016207a00","KING","VASE","U",0
"5c8c22bafeeaeb0016207a00","INCENSE","SMELL","F",40
"5c8c22bafeeaeb0016207a00","CRY","BEER","M",0
"5c8c22bafeeaeb0016207a00","KEYS","ROD","U",30
"5c8c22bafeeaeb0016207a00","DEATH","BUSINESS","U",5
"5c8c22bafeeaeb0016207a00","LION","FLAG","M",10
"5c8c22bafeeaeb0016207a00","LITTER","TRASH","F",95
"5c8c22bafeeaeb0016207a00","TRAP","MAN","M",5
"5c8c22bafeeaeb0016207a00","BIRTHDAY","APPLE","M",5
"5c8c22bafeeaeb0016207a00","RAKE","PLANT","M",45
