"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"W10140113ED","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1187,"Recall1","USM"
"w10154105DM","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",2022,"Recall1","USM"
"w10161018@usm.edu_JRM","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1357,"Recall1","USM"
"W10173435VPS","sweet","love","0.2",0,1,"Read","affection","Study1","F","Study Phase",1477,"Recall1","USM"
"w10175420MM","touch","love","0.2",0,1,"Read","affection","Study1","F","Study Phase",575,"Recall1","USM"
"w10175528_CLJ","","love","0",0,1,"Read","affection","Study1","F","Study Phase",641,"Recall1","USM"
"W10192914_JML","love","love","1",1,1,"Read","affection","Study1","F","Study Phase",1067,"Recall1","USM"
"W10140113ED","","birthday","0",0,1,"Read","apple","Study1","M","Study Phase",655,"Recall1","USM"
"w10154105DM","birthday","birthday","1",1,1,"Read","apple","Study1","M","Study Phase",5008,"Recall1","USM"
"w10161018@usm.edu_JRM","trash","birthday","0.5",0,1,"Read","apple","Study1","M","Study Phase",1752,"Recall1","USM"
"W10173435VPS","tree","birthday","0.25",0,1,"Read","apple","Study1","M","Study Phase",4965,"Recall1","USM"
"w10175420MM","fruit","birthday","0.375",0,1,"Read","apple","Study1","M","Study Phase",743,"Recall1","USM"
"w10175528_CLJ","","birthday","0",0,1,"Read","apple","Study1","M","Study Phase",444,"Recall1","USM"
"W10192914_JML","birthday","birthday","1",1,1,"Read","apple","Study1","M","Study Phase",908,"Recall1","USM"
"W10140113ED","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",823,"Recall1","USM"
"w10154105DM","base","hard","0.25",0,1,"Read","ball","Study1","M","Study Phase",3182,"Recall1","USM"
"w10161018@usm.edu_JRM","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1503,"Recall1","USM"
"W10173435VPS","round","hard","0.4",0,1,"Read","ball","Study1","M","Study Phase",5089,"Recall1","USM"
"w10175420MM","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",714,"Recall1","USM"
"w10175528_CLJ","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",301,"Recall1","USM"
"W10192914_JML","","hard","0",0,1,"Read","ball","Study1","M","Study Phase",1504,"Recall1","USM"
"W10140113ED","sip","cry","0",0,1,"Read","beer","Study1","M","Study Phase",826,"Recall1","USM"
"w10154105DM","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",5478,"Recall1","USM"
"w10161018@usm.edu_JRM","","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1376,"Recall1","USM"
"W10173435VPS","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",2697,"Recall1","USM"
"w10175420MM","cry","cry","1",1,1,"Read","beer","Study1","M","Study Phase",836,"Recall1","USM"
"w10175528_CLJ","","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1085,"Recall1","USM"
"W10192914_JML","","cry","0",0,1,"Read","beer","Study1","M","Study Phase",1399,"Recall1","USM"
"W10140113ED","","day","0",0,1,"Read","black","Study1","M","Study Phase",528,"Recall1","USM"
"w10154105DM","day","day","1",1,1,"Read","black","Study1","M","Study Phase",3798,"Recall1","USM"
"w10161018@usm.edu_JRM","","day","0",0,1,"Read","black","Study1","M","Study Phase",1449,"Recall1","USM"
"W10173435VPS","day","day","1",1,1,"Read","black","Study1","M","Study Phase",1869,"Recall1","USM"
"w10175420MM","day","day","1",1,1,"Read","black","Study1","M","Study Phase",1116,"Recall1","USM"
"w10175528_CLJ","","day","0",0,1,"Read","black","Study1","M","Study Phase",427,"Recall1","USM"
